Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
occurrenceID;basisOfRecord;Preparations (Physical Samples);eventDate;scientificName;kingdom;phylum;class;order;family;genus;species;taxonRank;AI Detection Method/Model;Confidence%;Verification Method;Verification Name;nomenclaturalCode;individualCount;organismQuantity;organismQuantityType;decimalLatitude;decimalLongitude;geodeticDatum;coordinateUncertaintyInMeters;verbatimCoordinates;verbatimCoordinateSystem;higherGeography;continent;country;countryCode;stateProvince;county;locality;verbatimLocality;occurrenceRemarks;references;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;fascicularis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Eupteryx;Eupteryx calcarata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tanyptera;Tanyptera atrata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Fagocyba;Fagocyba douglasi;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Zyginidia;Zyginidia scutellaris;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Phaonia;Phaonia valida;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;Autographa gamma;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Anthomyiidae;Hylemya;Hylemya urbica;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia placida;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
