Type,sensorID,timeStamp,soundMax
Bioacoustic 1,1,0,29
Bioacoustic 1,1,6,45
Bioacoustic 1,1,12,49
Bioacoustic 1,1,18,28
Bioacoustic 1,1,24,41
Bioacoustic 1,1,30,46
Bioacoustic 1,1,36,32
Bioacoustic 1,1,42,22
Bioacoustic 1,1,48,49
Bioacoustic 1,1,54,28
Bioacoustic 1,1,60,5
Bioacoustic 1,1,66,54
Bioacoustic 1,1,72,10
Bioacoustic 1,1,78,49
Bioacoustic 1,1,84,22
Bioacoustic 1,1,90,27
Bioacoustic 1,1,96,48
Bioacoustic 1,1,102,19
Bioacoustic 1,1,108,55
Bioacoustic 1,1,114,22
Bioacoustic 1,1,120,34
Bioacoustic 1,1,126,38
Bioacoustic 1,1,132,9
Bioacoustic 1,1,138,36
Bioacoustic 1,1,144,30
Bioacoustic 1,1,150,54
Bioacoustic 1,1,156,14
Bioacoustic 1,1,162,5
Bioacoustic 1,1,168,40
Bioacoustic 1,1,174,46
Bioacoustic 1,1,180,10
Bioacoustic 1,1,186,13
Bioacoustic 1,1,192,32
Bioacoustic 1,1,198,9
Bioacoustic 1,1,204,40
Bioacoustic 1,1,210,5
Bioacoustic 1,1,216,34
Bioacoustic 1,1,222,48
Bioacoustic 1,1,228,44
Bioacoustic 1,1,234,19
Bioacoustic 1,1,240,36
Bioacoustic 1,1,246,10
Bioacoustic 1,1,252,59
Bioacoustic 1,1,258,39
Bioacoustic 1,1,264,50
Bioacoustic 1,1,270,32
Bioacoustic 1,1,276,42
Bioacoustic 1,1,282,38
Bioacoustic 1,1,288,58
Bioacoustic 1,1,294,15
Bioacoustic 1,1,300,46
Bioacoustic 1,1,306,16
Bioacoustic 1,1,312,41
Bioacoustic 1,1,318,47
Bioacoustic 1,1,324,45
Bioacoustic 1,1,330,28
Bioacoustic 1,1,336,50
Bioacoustic 1,1,342,35
Bioacoustic 1,1,348,35
Bioacoustic 1,1,354,41
Bioacoustic 1,1,360,21
Bioacoustic 1,1,366,9
Bioacoustic 1,1,372,11
